id,role_label,experience_years,education_level,degree,skills,certifications,projects_summary,professional_summary,source
RES-0766,DevOps Engineer,7,Ph.D.,B.Sc. Computer Science,Ansible|AWS|GCP|Bash|Prometheus|Docker|Kubernetes|Vagrant|Jaeger|Nginx|Security Hardening|Vault|ELK Stack,,Improved system uptime to 99.88% SLA through improved monitoring and alerting. // Reduced deployment lead time from 32 days to 8 hours by redesigning CI/CD pipeline. // Containerised 46 legacy services with Docker and orchestrated with Kubernetes.,"Infrastructure engineer with 7 years designing cloud-native platforms with Ansible, Jaeger, Nginx.",public_profile_anonymized
RES-0984,Mobile Developer,6,Bootcamp/Certification,B.Tech Mobile Computing,React Native|Kotlin|Firebase|Swift|REST API|Play Store Deployment|Flutter|Realm|CI/CD|Detox|Fastlane|GPS,Apple App Development with Swift|AWS Mobile Developer,Achieved 54% reduction in app cold-start time through performance profiling. // Achieved 30% reduction in app cold-start time through performance profiling. // Shipped iOS and Android apps with 28k+ downloads in first month.,"Mobile developer with 6 years building cross-platform and native apps using Firebase, Kotlin, CI/CD.",synthetic
RES-0832,Cloud Architect,9,Associate's,B.Sc. Computer Science,GCP|Terraform|AWS|High Availability|Kubernetes|Service Mesh|ArgoCD|Pulumi|Vault|Istio,Google Professional Cloud Architect|AWS Solutions Architect Professional,Architected serverless data pipeline processing 44M events/day. // Architected serverless data pipeline processing 47M events/day.,"Solutions architect with 9 years architecting multi-cloud environments with GCP, Service Mesh, Istio.",public_profile_anonymized
RES-0496,Full-Stack Developer,4,Associate's,B.Sc. Computer Science,GraphQL|Next.js|Python|React|MongoDB|Git|REST API|AWS|CI/CD|PostgreSQL|WebSockets|OAuth2|Microservices,,Shipped end-to-end feature that increased user retention by 32%.,"Full-stack engineer with 4+ years building and shipping products with Git, REST API, MongoDB.",synthetic
RES-0986,Mobile Developer,3,Associate's,Diploma in Mobile App Development,Firebase|Push Notifications|GraphQL|React Native|Objective-C|App Store Deployment|Dart|Play Store Deployment|Detox|Redux|Offline Support|In-App Purchases,Apple App Development with Swift,Achieved 19% reduction in app cold-start time through performance profiling.,"Mobile engineer with 3 years crafting performant iOS and Android experiences with Firebase, In-App Purchases, React Native.",synthetic
RES-0655,Data Scientist,7,Master's,Ph.D. Computer Science,NumPy|Statistics|Scikit-learn|A/B Testing|Python|Seaborn|Jupyter|Bayesian Statistics|Docker|Azure ML|Airflow|Hadoop,IBM Data Science Professional|Databricks Certified Associate,Developed a recommendation engine improving click-through rate by 31%. // Published research on Seaborn applied to time-series forecasting.,"Machine learning practitioner with 7 years building predictive models with Azure ML, Jupyter, Scikit-learn.",synthetic
RES-0099,Backend Developer,10,Bootcamp/Certification,B.Tech Information Technology,AWS|Python|GraphQL|Docker|C#|Elasticsearch|ORM|Azure|Node.js|Go|Express.js|Ruby|GitHub Actions|pytest|Linux,Oracle Java SE|MongoDB Associate,Designed and maintained a high-throughput REST API serving 5k requests/day.,"Backend engineer with 10 years of experience building scalable APIs and microservices using ORM, Python, C#.",public_profile_anonymized
RES-0720,DevOps Engineer,3,Bootcamp/Certification,B.Sc. Computer Science,Terraform|GitHub Actions|Helm|Bash|Ansible|Docker|Grafana|Python|GitOps|Vagrant|Istio,CKA (Kubernetes),Containerised 20 legacy services with Docker and orchestrated with Kubernetes.,"Reliability-focused DevOps professional with 3+ years of experience in Python, GitOps, Helm.",synthetic
RES-0526,Full-Stack Developer,6,Master's,B.E. Software Engineering,React|CI/CD|Git|Node.js|Python|REST API|MongoDB|JavaScript|GraphQL|PostgreSQL|Express.js|TypeScript|Redis|Jest,Meta Front-End Developer,Integrated third-party payment gateway handling 37k transactions/month.,"Full-stack developer with 6 years delivering end-to-end web applications using Git, TypeScript, Python.",kaggle_anonymized
RES-0687,Data Scientist,12,Master's,B.Sc. Mathematics,Scikit-learn|Natural Language Processing|Deep Learning|A/B Testing|PyTorch|TensorFlow|Matplotlib|Azure ML|Tableau,Google Professional Data Engineer|Databricks Certified Associate,Published research on A/B Testing applied to time-series forecasting. // Automated ETL pipelines reducing manual data preparation by 52%. // Published research on A/B Testing applied to time-series forecasting.,"Machine learning practitioner with 12 years building predictive models with Scikit-learn, Azure ML, TensorFlow.",synthetic
RES-0854,Cloud Architect,2,Bootcamp/Certification,B.Sc. Computer Science,Docker|Auto Scaling|IAM|Kubernetes|Disaster Recovery|Azure|Pulumi|Helm|Python,TOGAF 9,"Led cloud migration of 49-service estate to AWS, cutting TCO by 59%.","Solutions architect with 2 years architecting multi-cloud environments with Python, IAM, Disaster Recovery.",kaggle_anonymized
RES-0346,Frontend Developer,8,Master's,B.Tech Information Technology,Vue.js|Accessibility|Zustand|TypeScript|CSS3|Redux|Webpack|SEO|Web Animations|Chart.js|Adobe XD,AWS Cloud Practitioner|Google UX Design,Developed a reusable component library with 18+ components used across 5 products.,"Creative UI engineer with 8+ years of experience crafting pixel-perfect interfaces using Zustand, SEO, Redux.",synthetic
RES-0169,Backend Developer,4,Associate's,M.Sc. Computer Science,Azure|Message Queues|gRPC|Redis|Rust|Java|Apache Kafka|Jenkins|Terraform|Unit Testing|pytest,,"Led migration of monolith to microservices, reducing deployment time by 38%.","Experienced server-side developer specialising in Jenkins, pytest, Azure with 4 years of professional experience.",synthetic
RES-0384,Full-Stack Developer,11,Bootcamp/Certification,M.Sc. Software Engineering,Python|Docker|CI/CD|React|HTML5|MongoDB|GraphQL|Next.js|Git|FastAPI|JWT|Redis|GitHub Actions,AWS Certified Developer,Shipped end-to-end feature that increased user retention by 58%. // Delivered a full-stack SaaS platform from design to production in 47 months. // Shipped end-to-end feature that increased user retention by 27%.,"Full-stack developer with 11 years delivering end-to-end web applications using Python, JWT, Next.js.",synthetic
RES-0802,DevOps Engineer,9,Ph.D.,B.E. Information Technology,AWS|Grafana|GitHub Actions|Infrastructure as Code|Prometheus|Kubernetes|GCP|Linux|Terraform|Python|Site Reliability Engineering|Jaeger|GitOps|Capacity Planning|Loki|HAProxy|Service Mesh,Google Professional DevOps Engineer,Improved system uptime to 99.52% SLA through improved monitoring and alerting.,"Reliability-focused DevOps professional with 9+ years of experience in Prometheus, Service Mesh, Terraform.",public_profile_anonymized
RES-0500,Full-Stack Developer,5,Associate's,B.E. Software Engineering,CSS3|Docker|HTML5|AWS|MongoDB|Next.js|TailwindCSS|Python|Node.js|JavaScript|Kubernetes|Microservices,Google Associate Cloud Engineer,Built an internal tooling dashboard serving 30+ engineering teams. // Delivered a full-stack SaaS platform from design to production in 37 months. // Shipped end-to-end feature that increased user retention by 31%.,"Full-stack developer with 5 years delivering end-to-end web applications using Next.js, JavaScript, Docker.",public_profile_anonymized
RES-0196,Backend Developer,4,Master's,M.Sc. Computer Science,SQL|Python|Rust|Django|Spring Boot|Apache Kafka|Unit Testing|OAuth2|Terraform|GitHub Actions,MongoDB Associate|AWS Certified Developer,Designed and maintained a high-throughput REST API serving 50k requests/day.,"Results-driven backend developer with 4+ years designing and maintaining distributed systems in Unit Testing, Spring Boot, OAuth2.",synthetic
RES-0729,DevOps Engineer,12,Bachelor's,M.Sc. Cloud Computing,Site Reliability Engineering|CI/CD|GitHub Actions|Terraform|Linux|Cost Optimisation|Vagrant|Capacity Planning|Packer|Jaeger,,Achieved 48% cost reduction by right-sizing cloud infrastructure on Helm. // Achieved 58% cost reduction by right-sizing cloud infrastructure on Helm.,"Reliability-focused DevOps professional with 12+ years of experience in Linux, Packer, Terraform.",synthetic
RES-0433,Full-Stack Developer,4,Master's,B.Tech Computer Engineering,MongoDB|Express.js|TypeScript|FastAPI|TailwindCSS|Linux|pytest|Jest|Kubernetes,Meta Front-End Developer,Shipped end-to-end feature that increased user retention by 38%. // Integrated third-party payment gateway handling 11k transactions/month.,"Full-stack engineer with 4+ years building and shipping products with pytest, Express.js, TailwindCSS.",synthetic
RES-0634,Data Scientist,10,Ph.D.,M.Sc. Machine Learning,R|Deep Learning|Statistics|Feature Engineering|Scikit-learn|NumPy|Seaborn|Hypothesis Testing|Git,IBM Data Science Professional,"Built a churn prediction model with 26% accuracy, saving 2k ARR.","Machine learning practitioner with 10 years building predictive models with Feature Engineering, Hypothesis Testing, Statistics.",public_profile_anonymized
RES-0436,Full-Stack Developer,10,Ph.D.,M.Sc. Software Engineering,REST API|CSS3|TypeScript|CI/CD|Docker|Next.js|AWS|FastAPI|JavaScript|GraphQL|Linux|Redis,Meta Front-End Developer|Google Associate Cloud Engineer,Shipped end-to-end feature that increased user retention by 31%. // Integrated third-party payment gateway handling 31k transactions/month. // Shipped end-to-end feature that increased user retention by 34%.,"Versatile engineer comfortable across the stack with 10 years of experience in REST API, AWS, Linux.",kaggle_anonymized
RES-0077,Backend Developer,7,Bootcamp/Certification,B.E. Software Engineering,AWS|Ruby|Django|Azure|SQL|Bash|Apache Kafka,Oracle Java SE,"Optimised PostgreSQL query performance, cutting average response time by 57%.","Experienced server-side developer specialising in SQL, Azure, Apache Kafka with 7 years of professional experience.",synthetic
RES-0556,Data Scientist,2,Associate's,B.Sc. Mathematics,Machine Learning|Statistics|PyTorch|R|Deep Learning|Natural Language Processing|Matplotlib|Model Deployment|Git|dbt|Airflow|MLflow,,Published research on Machine Learning applied to time-series forecasting. // Developed a recommendation engine improving click-through rate by 56%. // Published research on NumPy applied to time-series forecasting.,"Machine learning practitioner with 2 years building predictive models with Airflow, dbt, Deep Learning.",synthetic
RES-0672,Data Scientist,6,Bachelor's,M.Sc. Statistics,Natural Language Processing|Scikit-learn|NumPy|Deep Learning|Matplotlib|Machine Learning|Data Visualisation|PyTorch|Feature Engineering|Seaborn|Jupyter|Model Deployment|Airflow|Azure ML,AWS Machine Learning Specialty|Databricks Certified Associate,Developed a recommendation engine improving click-through rate by 39%.,"Data scientist with 6 years transforming raw data into actionable insights using PyTorch, Azure ML, Deep Learning.",public_profile_anonymized
RES-0546,Full-Stack Developer,10,Associate's,M.Sc. Software Engineering,Git|AWS|CSS3|Python|REST API|TailwindCSS|Next.js|MongoDB|CI/CD|FastAPI|WebSockets|Nginx|Microservices|Linux,AWS Certified Developer,Integrated third-party payment gateway handling 2k transactions/month.,"Full-stack developer with 10 years delivering end-to-end web applications using REST API, CSS3, Next.js.",synthetic
RES-0690,Data Scientist,12,Bachelor's,Ph.D. Computer Science,Python|Natural Language Processing|Seaborn|Deep Learning|Data Visualisation|R|Machine Learning|SQL|Feature Engineering|Jupyter|Pandas|Matplotlib|Hadoop|MLflow|Looker|Hypothesis Testing,,"Built a churn prediction model with 54% accuracy, saving 35k ARR. // Automated ETL pipelines reducing manual data preparation by 31%. // Developed a recommendation engine improving click-through rate by 34%.","Machine learning practitioner with 12 years building predictive models with Deep Learning, Hadoop, Seaborn.",synthetic
RES-0694,Data Scientist,1,Ph.D.,Ph.D. Computer Science,Pandas|Machine Learning|Deep Learning|NumPy|PyTorch|TensorFlow|R|GCP Vertex AI|Looker|Model Deployment|Git,Databricks Certified Associate|AWS Machine Learning Specialty,"Built a churn prediction model with 50% accuracy, saving 47k ARR. // Built a churn prediction model with 52% accuracy, saving 49k ARR. // Developed a recommendation engine improving click-through rate by 24%.","Machine learning practitioner with 1 years building predictive models with Git, Model Deployment, R.",synthetic
RES-0859,Cloud Architect,10,Bootcamp/Certification,M.Sc. Cloud Computing,Terraform|Multi-cloud Strategy|GCP|Docker|Azure|Auto Scaling|Lambda|Load Balancing|Serverless|High Availability|VPC|FinOps|ArgoCD|Zero-Trust Security,TOGAF 9,"Established cloud governance framework adopted across 17 business units. // Architected serverless data pipeline processing 27M events/day. // Led cloud migration of 8-service estate to AWS, cutting TCO by 22%.","Solutions architect with 10 years architecting multi-cloud environments with VPC, Lambda, GCP.",kaggle_anonymized
RES-0020,Backend Developer,11,Ph.D.,M.Sc. Computer Science,Java|MySQL|Docker|Express.js|Python|GraphQL|PostgreSQL|Go|GCP|NestJS|pytest|Celery|GitHub Actions|OAuth2|Linux,Oracle Java SE,"Built a real-time notification service using gRPC and message queues. // Optimised PostgreSQL query performance, cutting average response time by 46%. // Built a real-time notification service using MySQL and message queues.","Backend engineer with 11 years of experience building scalable APIs and microservices using MySQL, Express.js, Celery.",kaggle_anonymized
RES-0776,DevOps Engineer,10,Master's,M.Sc. Cloud Computing,GitHub Actions|Terraform|GCP|Docker|Bash|Helm|Site Reliability Engineering|CI/CD|AWS|Infrastructure as Code|Azure|Packer|Vagrant|Cost Optimisation|Jaeger|ArgoCD,Google Professional DevOps Engineer,Reduced deployment lead time from 14 days to 8 hours by redesigning CI/CD pipeline.,"Reliability-focused DevOps professional with 10+ years of experience in Vagrant, Packer, Jaeger.",synthetic
RES-0701,DevOps Engineer,5,Master's,B.Tech Computer Engineering,Site Reliability Engineering|Helm|Docker|Ansible|Python|GCP|Monitoring|Prometheus|Linux|CI/CD|Vault|Capacity Planning|GitOps,,Improved system uptime to 99.68% SLA through improved monitoring and alerting.,"Infrastructure engineer with 5 years designing cloud-native platforms with Site Reliability Engineering, Helm, Vault.",public_profile_anonymized
RES-0208,Frontend Developer,7,Bootcamp/Certification,B.A. Web Design,CSS3|HTML5|SASS|TypeScript|React|Web Animations|Chart.js|Adobe XD|SEO,Meta Front-End Developer|Google UX Design,"Rebuilt company dashboard in GraphQL, improving load time by 53%.","Creative UI engineer with 7+ years of experience crafting pixel-perfect interfaces using HTML5, Chart.js, Adobe XD.",synthetic
RES-0635,Data Scientist,2,Associate's,Ph.D. Computer Science,Pandas|Jupyter|Seaborn|R|Data Visualisation|Deep Learning|Natural Language Processing|Experiment Tracking|Looker|Bayesian Statistics|Power BI|AWS SageMaker,IBM Data Science Professional,Published research on Matplotlib applied to time-series forecasting.,"Data scientist with 2 years transforming raw data into actionable insights using Experiment Tracking, R, Pandas.",synthetic
RES-0437,Full-Stack Developer,3,Ph.D.,B.E. Software Engineering,HTML5|React|REST API|GraphQL|JavaScript|TypeScript|Git|Redis|Next.js|MongoDB|AWS|Linux|Scrum|pytest,AWS Certified Developer|Meta Front-End Developer,Built an internal tooling dashboard serving 39+ engineering teams.,"Full-stack developer with 3 years delivering end-to-end web applications using Next.js, Git, Redis.",synthetic
RES-0681,Data Scientist,1,Ph.D.,M.Sc. Data Science,Jupyter|Feature Engineering|Seaborn|Pandas|TensorFlow|Bayesian Statistics|Azure ML|Hypothesis Testing|MLflow|Spark,Databricks Certified Associate,"Automated ETL pipelines reducing manual data preparation by 24%. // Built a churn prediction model with 33% accuracy, saving 34k ARR.","Data scientist with 1 years transforming raw data into actionable insights using MLflow, Azure ML, Spark.",synthetic
RES-0698,Data Scientist,5,Bachelor's,M.Sc. Statistics,Statistics|Data Visualisation|Machine Learning|R|A/B Testing|Feature Engineering|PyTorch|Scikit-learn|Bayesian Statistics|Git|Airflow|Docker|Tableau|GCP Vertex AI,Google Professional Data Engineer|AWS Machine Learning Specialty,Automated ETL pipelines reducing manual data preparation by 43%.,"Data scientist with 5 years transforming raw data into actionable insights using Statistics, Docker, Bayesian Statistics.",synthetic
RES-0805,DevOps Engineer,6,Ph.D.,M.Sc. Cloud Computing,Bash|Terraform|Ansible|Prometheus|Site Reliability Engineering|GitHub Actions|CI/CD|Vault|HAProxy|Vagrant|Nginx|Capacity Planning|Loki,HashiCorp Terraform Associate,Improved system uptime to 99.66% SLA through improved monitoring and alerting. // Reduced deployment lead time from 9 days to 10 hours by redesigning CI/CD pipeline.,"DevOps engineer with 6 years automating infrastructure and improving deployment pipelines using Prometheus, CI/CD, Vault.",synthetic
RES-0799,DevOps Engineer,10,Bachelor's,B.Sc. Computer Science,Kubernetes|Prometheus|Bash|Azure|Helm|Python|Site Reliability Engineering|AWS|Ansible|Security Hardening|Capacity Planning|Flux|ArgoCD,,Improved system uptime to 99.63% SLA through improved monitoring and alerting. // Improved system uptime to 99.96% SLA through improved monitoring and alerting.,"Infrastructure engineer with 10 years designing cloud-native platforms with Python, Site Reliability Engineering, Helm.",synthetic
RES-0165,Backend Developer,2,Master's,M.Sc. Computer Science,Express.js|REST API|GCP|Redis|Elasticsearch|Python|C#|Ruby|Message Queues|Docker|API Design|Jenkins|JWT|RabbitMQ|Unit Testing,,"Optimised PostgreSQL query performance, cutting average response time by 44%. // Built a real-time notification service using Express.js and message queues. // Built a real-time notification service using MongoDB and message queues.","Backend engineer with 2 years of experience building scalable APIs and microservices using Docker, Unit Testing, C#.",synthetic
RES-0124,Backend Developer,11,Bootcamp/Certification,B.Tech Information Technology,Elasticsearch|Java|Spring Boot|Azure|gRPC|REST API|GCP|Kubernetes|Python|Celery|Linux|Nginx|API Design|GitHub Actions,AWS Certified Developer|Oracle Java SE,"Built a real-time notification service using Elasticsearch and message queues. // Optimised PostgreSQL query performance, cutting average response time by 20%. // Built a real-time notification service using Elasticsearch and message queues.","Experienced server-side developer specialising in Azure, Java, Spring Boot with 11 years of professional experience.",public_profile_anonymized
RES-0368,Frontend Developer,7,Bachelor's,B.Sc. Computer Science,Vite|Nuxt.js|Responsive Design|Webpack|Next.js|Node.js|SEO|Cypress|PWA|Web Animations|Performance Optimisation,Meta Front-End Developer|AWS Cloud Practitioner,Reduced bundle size by 19% through code splitting and lazy loading. // Developed a reusable component library with 43+ components used across 7 products. // Reduced bundle size by 51% through code splitting and lazy loading.,"Frontend developer with 7 years building responsive, accessible UIs with Webpack, Node.js, SEO.",synthetic
RES-0316,Frontend Developer,10,Master's,B.Sc. Computer Science,Angular|Vue.js|React|HTML5|TailwindCSS|Accessibility|Nuxt.js|REST API|Webpack|GraphQL|Redux|Web Animations|Figma|Chart.js|PWA,,"Reduced bundle size by 19% through code splitting and lazy loading. // Reduced bundle size by 53% through code splitting and lazy loading. // Rebuilt company dashboard in CSS3, improving load time by 39%.","Frontend developer with 10 years building responsive, accessible UIs with TailwindCSS, REST API, Chart.js.",synthetic
RES-0037,Backend Developer,12,Bootcamp/Certification,M.Sc. Computer Science,Java|Message Queues|Express.js|Elasticsearch|Rust|Microservices|Azure|Django|SQL|Redis|MongoDB|ORM|Bash|Linux|Terraform|Jenkins|OAuth2,,"Designed and maintained a high-throughput REST API serving 43k requests/day. // Optimised PostgreSQL query performance, cutting average response time by 21%. // Led migration of monolith to microservices, reducing deployment time by 19%.","Results-driven backend developer with 12+ years designing and maintaining distributed systems in ORM, Rust, SQL.",synthetic
RES-0292,Frontend Developer,10,Associate's,Diploma in Web Development,CSS3|Redux|Cross-browser Compatibility|Responsive Design|React|HTML5|GraphQL|REST API|Webpack|TypeScript|Nuxt.js|D3.js|Chart.js|Cypress|PWA|GitHub|SEO,Google UX Design,Reduced bundle size by 22% through code splitting and lazy loading. // Developed a reusable component library with 36+ components used across 8 products. // Implemented WCAG 2.1 AA accessibility standards across the entire application.,"Frontend developer with 10 years building responsive, accessible UIs with GitHub, Responsive Design, Nuxt.js.",kaggle_anonymized
RES-0322,Frontend Developer,6,Bootcamp/Certification,Diploma in Web Development,Vue.js|TailwindCSS|REST API|Responsive Design|JavaScript|React|Accessibility|Adobe XD|Chart.js,Meta Front-End Developer,Implemented WCAG 2.1 AA accessibility standards across the entire application.,"Frontend developer with 6 years building responsive, accessible UIs with Responsive Design, Accessibility, TailwindCSS.",kaggle_anonymized
RES-0742,DevOps Engineer,1,Master's,M.Sc. Cloud Computing,Azure|Terraform|Infrastructure as Code|Kubernetes|AWS|GitHub Actions|CI/CD|Ansible|Python|Linux|GitOps|Cost Optimisation,HashiCorp Terraform Associate|AWS DevOps Engineer Professional,Reduced deployment lead time from 49 days to 6 hours by redesigning CI/CD pipeline.,"Infrastructure engineer with 1 years designing cloud-native platforms with GitHub Actions, GitOps, Azure.",synthetic
RES-0871,Cloud Architect,11,Associate's,B.Sc. Computer Science,Terraform|AWS|Lambda|Docker|High Availability|Disaster Recovery|Cloud Security|CloudFormation|Bash,,"Designed a multi-region, active-active architecture with 99.87% availability SLA. // Architected serverless data pipeline processing 5M events/day. // Designed a multi-region, active-active architecture with 99.58% availability SLA.","Solutions architect with 11 years architecting multi-cloud environments with Terraform, AWS, CloudFormation.",kaggle_anonymized
RES-0562,Data Scientist,4,Ph.D.,B.Sc. Mathematics,Python|Statistics|Data Visualisation|R|Machine Learning|Power BI|Git,Databricks Certified Associate,Automated ETL pipelines reducing manual data preparation by 55%.,"Analytical data scientist with 4+ years of experience in Git, Python, Machine Learning and statistical modelling.",public_profile_anonymized
RES-0869,Cloud Architect,11,Bachelor's,B.Sc. Computer Science,Disaster Recovery|Lambda|High Availability|Terraform|VPC|Auto Scaling|Serverless|Ansible|GDPR,Google Professional Cloud Architect|Azure Solutions Architect Expert,"Designed a multi-region, active-active architecture with 99.71% availability SLA. // Designed a multi-region, active-active architecture with 99.68% availability SLA. // Led cloud migration of 27-service estate to AWS, cutting TCO by 44%.","Cloud architect with 11 years designing resilient, scalable cloud platforms on Lambda, Auto Scaling, Ansible.",synthetic
RES-0882,Cloud Architect,12,Ph.D.,M.Sc. Cloud Computing,Cloud Security|GCP|Serverless|High Availability|AWS|Load Balancing|Multi-cloud Strategy|Ansible|Python|Helm|GDPR,,"Led cloud migration of 10-service estate to AWS, cutting TCO by 43%. // Designed a multi-region, active-active architecture with 99.74% availability SLA.","Solutions architect with 12 years architecting multi-cloud environments with GDPR, Serverless, AWS.",synthetic
RES-0184,Backend Developer,4,Ph.D.,B.Tech Information Technology,Azure|Docker|Kubernetes|Ruby|Django|Node.js|SQL|Go|Rust|PostgreSQL|Elasticsearch|C#|Unit Testing|RabbitMQ|OAuth2,,"Built a real-time notification service using C# and message queues. // Led migration of monolith to microservices, reducing deployment time by 47%.","Results-driven backend developer with 4+ years designing and maintaining distributed systems in PostgreSQL, Node.js, SQL.",synthetic
RES-0247,Frontend Developer,7,Associate's,Diploma in Web Development,HTML5|Accessibility|Next.js|CSS3|REST API|TypeScript|JavaScript|React|Angular|TailwindCSS|Vue.js|Vite|Web Animations|Figma|CI/CD|Node.js|Performance Optimisation|GitHub,Meta Front-End Developer|AWS Cloud Practitioner,Reduced bundle size by 40% through code splitting and lazy loading. // Developed a reusable component library with 13+ components used across 8 products.,"Frontend developer with 7 years building responsive, accessible UIs with Web Animations, Accessibility, React.",synthetic
RES-0633,Data Scientist,4,Bootcamp/Certification,M.Sc. Data Science,Feature Engineering|PyTorch|NumPy|A/B Testing|Deep Learning|Jupyter|Matplotlib|Data Visualisation|Machine Learning|Statistics|SQL|Tableau|Docker|AWS SageMaker|Spark|Model Deployment,AWS Machine Learning Specialty,Developed a recommendation engine improving click-through rate by 20%.,"Machine learning practitioner with 4 years building predictive models with Docker, Jupyter, AWS SageMaker.",public_profile_anonymized
RES-0089,Backend Developer,7,Bachelor's,B.Tech Information Technology,Message Queues|gRPC|Spring Boot|Azure|ORM|Express.js|Linux|Jenkins,,"Built a real-time notification service using Azure and message queues. // Led migration of monolith to microservices, reducing deployment time by 30%.","Results-driven backend developer with 7+ years designing and maintaining distributed systems in Express.js, Jenkins, Linux.",synthetic
